name,x,y,z
cream_of_rice,7.8739614,6.1230235,-5.9767666
cream_of_tartar,7.904335,2.8145216,-0.9757405
cream_of_wheat,7.677318,3.601049,-1.3982533
cream_soda,8.492018,3.1001494,-0.7456
creme_anglaise,7.690741,2.7728608,-1.1744181
creme_de_cacao,8.318493,3.0507102,-0.6968794
creme_de_cassis,8.679398,3.2861876,-1.0252064
creme_de_menthe,8.457918,2.8655546,-0.8675662
creme_de_violette,9.363652,3.4251063,-0.73690766
creme_fraiche,8.413492,4.6667175,-5.193832
creole_sauce,6.8215623,5.5687284,-5.690415
creole_seasoning,8.053235,5.397816,-5.9600396
crepe,7.5036173,3.036838,-1.1019275
crescent_roll,8.221746,6.028924,-5.760137
crispbread,8.062327,4.905636,-3.3285515
croissant,8.175731,6.1164007,-5.2786403
crosnes,8.537379,1.1483432,-5.4615984
crouton,8.445753,5.6791453,-5.751652
crumb_crust,7.878882,3.0592532,-0.8433562
crumpet,7.3493423,5.499997,-5.002902
cubanelle_pepper,8.424932,5.4393826,-5.1721826
cucumber,8.771476,3.1374767,-6.070194
cudweed,8.448612,1.667393,-4.900395
culantro,7.020479,2.172595,-5.5339885
cumin,8.744009,4.10369,-6.0547304
curd,5.553107,3.922401,-4.6995797
cured_chicken,8.295537,1.3530871,-5.31135
cured_duck,8.275363,1.4415954,-5.195629
cured_fish,8.308023,1.6340537,-5.4049187
curing_salt,8.6756935,3.0520215,-5.198435
curry,8.32981,4.4163146,-5.643853
curry_leaf,5.6065607,3.8706574,-4.7929797
curry_paste,8.038866,2.0815465,-6.0025964
curry_powder,8.462991,4.4895535,-5.7783594
custard,7.876447,2.5434647,-1.2211902
custard_powder,7.697721,2.389831,-1.5708653
cynar,9.386654,3.4433732,-0.7593355
dace,8.174506,1.5681514,-5.0921702
daikon,8.612011,2.4137065,-6.0206017
damson,8.011368,3.7251434,-1.2108139
dandelion,8.443802,4.610571,-5.183807
dango,7.6596694,1.896446,-2.7953024
dark_soy_sauce,9.022721,2.2915204,-5.755394
dashi,8.035497,2.4038925,-6.5517006
date,8.265692,2.990655,-1.9050438
daylily_flower,8.280746,1.2056531,-5.8293405
deer_mushroom,8.148578,1.5702448,-5.236276
demi_glace,8.503051,4.8311634,-5.069044
denbu,7.9168396,2.4605172,-6.8051863
dextrose,7.5341535,3.3723772,-1.1996868
digestive_biscuit,7.7682066,2.4193325,-1.3308682
dijonnaise,7.742205,5.7701454,-5.1531634
dill,8.77778,4.8386297,-5.827701
doenjang,8.221184,1.1764328,-5.9031467
donburi_sauce,8.131329,1.1925056,-6.048596
dong_leaf,7.570665,1.77844,-3.7767954
donkey_meat,8.483123,1.0812622,-5.464445
dory,7.893761,1.5167515,-5.818472
doubanjiang,8.945551,2.1911113,-5.819945
dough,7.716138,2.7042215,-2.0930994
dough_improver,7.484606,2.7540405,-2.004008
doughnut,7.7689834,3.0074701,-0.8966324
dragon_fruit,8.025654,1.9645993,-2.2086945
dragon_whisker_vegetable,8.420511,1.2641745,-5.614064
drambuie,9.189225,3.3503573,-0.7503226
dried_ganba_mushroom,8.4211855,1.1660696,-5.768708
dried_lily_bud,8.671758,1.9908284,-5.5135183
dried_orchid_flower,8.369262,1.1305872,-5.542408
dried_oyster,8.1588545,1.5534986,-5.0677123
dried_scallop,8.360239,1.9410107,-5.1467743
dried_shrimp,8.539046,2.2249925,-5.609312
dried_tangerine_peel,8.439601,1.5525365,-3.761741
dried_tofu,8.681669,2.0464234,-5.6183405
dried_vegetable,8.420075,1.6343892,-5.713352
dry_pot_sauce,8.285295,1.301541,-6.0239887
dubonnet,9.320212,3.521411,-0.80014616
duck,8.762628,2.6464663,-5.1036634
duck_egg,8.541648,2.030699,-5.3124766
duck_fat,8.611708,4.5194206,-4.7510605
duck_sauce,7.642205,4.7101483,-5.171413
duck_stock,8.337042,3.180913,-5.1423006
dukkah,7.770047,4.8531437,-4.7433352
dulce_de_leche,7.9534864,2.9693663,-1.1408005
dumpling,8.189195,2.2713988,-6.296586
dumpling_wrapper,8.783661,1.8333476,-5.3483963
durian,7.7698092,2.0909383,-2.118963
earl_grey_tea,7.744966,2.2658505,-1.7070271
edam_cheese,7.8556075,5.7811937,-5.32059
edamame,8.473516,2.0386229,-5.796172
edible_flower,8.09992,2.1554787,-2.2898133
edible_gold_leaf,7.834196,2.5035949,-1.1859137
eel,8.383471,1.9541893,-5.9193783
egg,7.9380283,2.9420075,-1.7553538
egg_noodle,8.277871,5.8880677,-6.0846667
egg_roll,7.670473,3.1608603,-5.700412
egg_roll_wrapper,8.23874,5.9280934,-5.7627835
egg_substitute,7.1937747,3.397898,-1.6967694
egg_tofu,8.143256,1.9788983,-5.8820662
egg_white,7.9876523,2.9312634,-1.6793257
egg_yolk,8.096252,2.824678,-1.6364338
eggnog,8.139888,3.1882937,-0.6649391
eggplant,8.74049,4.3509345,-5.9016204
einkorn,7.442375,4.1961217,-2.7790425
elderberry,8.276892,3.5394053,-1.2057484
elderflower,9.170676,3.2240987,-0.96875864
elderflower_liqueur,9.062232,3.2232792,-0.80121386
emmental_cheese,8.315816,5.660752,-5.2234464
empanada_shell,7.5904493,5.5711293,-5.927269
enchilada_sauce,7.620506,5.9345026,-6.271027
endive,8.383562,4.537944,-5.153795
